gate_id,epoch_time,trial_id
right,1743586701.015158,4
right,1743586705.683137,4
right,1743586705.708147,4
right,1743586705.7225685,4
entrance,1743586705.8081532,4
entrance,1743586705.825154,3
left,1743586738.7823024,3
entrance,1743586738.9344642,3
right,1743586750.130537,3
entrance,1743586750.4543335,3
entrance,1743586750.5874066,3
entrance,1743586750.6411672,3
left,1743586787.1450508,3
left,1743586788.7687476,3
entrance,1743586789.4187164,3
entrance,1743586789.4320183,3
entrance,1743586808.6402996,3
entrance,1743586808.668414,3
left,1743586808.7864518,3
left,1743586808.8026645,4
left,1743586916.565066,4
left,1743586917.0681643,4
entrance,1743586919.3214595,4
entrance,1743586919.3942945,4
right,1743586986.6390707,4
entrance,1743586991.7932632,4
entrance,1743586991.808418,4
left,1743586991.9431455,4
left,1743586991.9614832,4
left,1743586994.3824883,4
left,1743586995.1677957,4
left,1743586997.279449,4
entrance,1743586999.64084,4
right,1743587715.0545685,4
right,1743587715.3456473,4
entrance,1743587716.7666724,4
entrance,1743588202.266814,3
entrance,1743588202.7145207,3
entrance,1743588202.7465816,3
left,1743588202.8682358,3
left,1743588202.8868299,3
left,1743588202.900045,3
left,1743588203.4037762,3
left,1743588203.4140291,3
left,1743588203.4308915,3
entrance,1743588206.593859,3
left,1743588207.1257653,3
right,1743589433.6560473,8
right,1743589521.6264043,8
entrance,1743589573.1913285,8
entrance,1743589573.2158153,8
left,1743589573.3296974,8
left,1743589573.3430278,7
left,1743589573.3611677,7
entrance,1743589676.1979294,7
left,1743589676.4455392,7
left,1743589676.4661002,8
entrance,1743589691.7106638,8
left,1743589692.0982177,8
left,1743589692.146628,7
right,1743589926.399823,7
right,1743589926.513759,7
right,1743589929.4198062,7
entrance,1743590041.437704,7
entrance,1743590134.560346,7
left,1743590134.6888125,7
left,1743590134.7163374,8
entrance,1743590175.1087005,8
entrance,1743590175.1269288,8
entrance,1743590175.1483023,8
left,1743590175.3491473,8
left,1743590175.3673637,8
entrance,1743590175.7913392,8
left,1743590176.0113418,8
left,1743590176.03519,8
right,1743590201.1094043,8
right,1743590204.3071103,8
right,1743590205.5651295,8
entrance,1743590209.6457164,8
right,1743590211.5401766,8
entrance,1743590211.709088,8
entrance,1743590211.7204964,8
right,1743590333.641528,8
entrance,1743590349.1281872,8
left,1743590349.801618,8
left,1743590349.827282,7
entrance,1743590350.1538005,7
entrance,1743590350.1722279,7
entrance,1743590350.1894927,7
left,1743590350.326532,7
left,1743590350.3558247,7
entrance,1743590350.745883,7
entrance,1743590350.7858684,7
left,1743590350.9211626,7
left,1743590350.94006,7
left,1743590350.957715,7
left,1743590351.8896315,7
left,1743590351.907914,7
left,1743590396.3198037,7
left,1743590411.7978768,7
left,1743590412.4627256,7
left,1743590412.5147014,7
right,1743590509.7531445,7
entrance,1743590511.166154,7
right,1743591331.4042242,2
entrance,1743591331.9776978,2
entrance,1743591332.0484862,1
entrance,1743591492.6219106,1
left,1743591492.8687143,1
left,1743591492.8880854,2
entrance,1743591494.1759734,2
entrance,1743591494.2118917,1
entrance,1743591494.2319229,1
left,1743591494.4094949,1
left,1743591494.4264276,1
entrance,1743591614.7165155,1
right,1743591615.7326233,1
right,1743591615.809292,2
entrance,1743591747.329422,2
left,1743591747.6992536,2
left,1743591748.6159775,1
entrance,1743591748.904524,1
left,1743591749.1360922,2
left,1743591749.1644177,2
entrance,1743591840.8109026,2
left,1743591840.9914215,2
left,1743591841.0084941,1
left,1743591841.0253196,1
entrance,1743591845.1200047,1
left,1743591845.2480774,1
left,1743591845.2769213,2
entrance,1743591966.1473346,2
entrance,1743591966.1652324,2
right,1743591966.169106,2
entrance,1743591966.6452634,2
entrance,1743592004.1403828,2
entrance,1743592004.1661727,2
left,1743592004.2932673,2
left,1743592004.3197608,1
left,1743592059.3829863,1
right,1743592091.1556375,1
right,1743592483.3925712,1
entrance,1743592484.432837,1
entrance,1743592484.4934142,2
right,1743592595.9999053,2
right,1743592596.0241027,2
right,1743592609.0687177,2
left,1743592831.5701303,2
left,1743592831.7749617,2
right,1743592846.3617606,2
right,1743592846.3953927,2
entrance,1743592846.5645137,2
entrance,1743592935.669078,1
entrance,1743592935.68319,1
entrance,1743592935.711434,1
entrance,1743592935.7367544,1
left,1743592935.880367,1
left,1743592935.9089718,1
entrance,1743593048.679023,1
left,1743593049.9261365,1
left,1743593049.947895,2
left,1743593049.9687867,2
left,1743593049.9946144,2
entrance,1743593156.018567,2
left,1743593156.1420467,2
left,1743593156.1694975,1
right,1743593223.5875125,1
entrance,1743593225.868858,1
right,1743593227.3098571,1
entrance,1743593227.5092251,1
entrance,1743593227.561942,1
right,1743593227.8734934,1
entrance,1743593228.4016206,1
entrance,1743593228.4173882,1
entrance,1743593228.4449685,1
right,1743593231.3820508,1
right,1743593237.572507,1
entrance,1743593696.5802608,1
left,1743593697.130323,1
left,1743593697.1972005,2
entrance,1743593701.1697135,2
left,1743593702.2497373,2
left,1743593702.2999744,1
left,1743593702.312206,1
left,1743593702.3234115,1
left,1743593714.6583226,1
right,1743593762.3694096,1
right,1743593762.8380659,1
right,1743593763.4454536,1
